Title,Date,URL
关于开展山东大学学生会组织2024-2025学年秋季学期“我为同学做实事”活动立项的通知,2024-10-15,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10207
关于开展山东大学2024—2025学年“百团争鸣”学生社团风采展暨纳新活动的预备通知,2024-10-15,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10206
关于开展山东大学2024—2025学年“百团争鸣”风采展暨学生社团纳新活动“星耀计划”立项资助...,2024-10-15,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10205
关于山东大学2024—2025学年学生社团换届、注册与新学生社团成立结果的公示,2024-10-15,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10204
关于推选2024—2025年度山东省“青马工程”大学生骨干培训班学员的通知,2024-10-14,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10193
关于山东大学第六届青年志愿服务项目大赛卫生健康专项比赛暨首届“YAO健康，善行家”——青年...,2024-10-11,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10192
关于开展山东大学2024年度团校工作的通知,2024-10-10,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10185
关于报送2024-2025学年基层团委委员会设置的通知,2024-10-10,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10184
关于推荐“励志健体，勇攀高峰”徒步活动参与人选的通知,2024-10-08,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10182
关于举办山东大学首届“SDU TALK”学生创新大讲堂的通知,2024-09-30,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10172
关于山东大学2023-2024学年学生社团暑期活动风采交流展示结果的公示,2024-09-27,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10164
关于开展山东大学2023-2024学年学生暑期社会实践专项活动评比答辩与交流总结的通知,2024-09-27,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10163
关于公布参评2024年山东省普通本科高校劳动教育典型课程教学设计、教学案例和实践项目的通知,2024-09-27,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10162
关于开展“阅中国 悦青春”庆祝新中国成立75周年读书月系列活动的通知,2024-09-25,https://www.youth.sdu.edu.cn/tz_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1004&wbnewsid=10155
